TC_ID,TC_ID gốc,FR,Kỹ thuật,Nhóm,Tiêu đề,Tiền điều kiện,Method+Endpoint,Headers,Request body/params,Expected HTTP,Expected/Assertion,Truy vết,Ưu tiên
TC-API1-055,TC-API1-SCH-001,FR-06,Schema validation (ajv draft-07),Schema,Response 200 khớp HOÀN TOÀN schema strict 6 trường,Sản phẩm id=1 tồn tại; đã nạp SCHEMA_200,GET /api/products/1,X-Student-Id: 23127362,Không,200,"ajv.validate(SCHEMA_200, body)===true. Khi FAIL phải ghi nguyên văn ajv.errors: keyword additionalProperties ⇒ trường thừa (vi phạm Q6); keyword required ⇒ thiếu trường; keyword type ⇒ sai kiểu",Strict 6 trường (Q6); EP-PRICE-V1,Cao
TC-API1-056,TC-API1-SCH-002,FR-06,Schema — kiểm kiểu từng trường,Schema,"price PHẢI là number, KHÔNG được là chuỗi số",Sản phẩm id=1 tồn tại,GET /api/products/1,X-Student-Id: 23127362,Không,200,"typeof của cả 6 trường đúng theo schema; typeof price===number; Number.isFinite(price); chuỗi thô KHÔNG khớp /""price""\s*:\s*""/. Nếu price là chuỗi ⇒ FAIL theo spec, TUYỆT ĐỐI không nới schema thành [number,string]",EP-PRICE-B4; Strict 6 trường,Cao
TC-API1-057,TC-API1-SCH-003,FR-06,Schema — additionalProperties=false,Schema,Response KHÔNG chứa trường thừa ngoài 6 trường,Sản phẩm id=1 tồn tại,GET /api/products/1,X-Student-Id: 23127362,Không,200,"Object.keys(body).length===6 và đúng tập khóa. Kiểm âm tính: password/deleted/isDeleted/createdAt/stock/cost/supplier/user_id/category_name đều undefined. Khóa thừa nhạy cảm ⇒ đồng thời là rò rỉ dữ liệu (SEC-05), escalate",Strict 6 trường (Q6),Cao
TC-API1-058,TC-API1-SCH-004,FR-06,Schema — required,Schema,"Không thiếu trường bắt buộc, không trường nào null/undefined",Sản phẩm id=1 tồn tại,GET /api/products/1,X-Student-Id: 23127362,Không,200,"Mỗi trong 6 khóa: hasOwnProperty===true, !==undefined, !==null (null vẫn FAIL vì schema không cho phép). description/imageUrl rỗng ⇒ PASS schema nhưng ghi nhận cảnh báo vi phạm yêu cầu hiển thị FR-06",Strict 6 trường (Q6),Cao
TC-API1-059,TC-API1-SCH-005,FR-06,Schema — tầng vận chuyển,Schema,"Content-Type là application/json, thân là object JSON (không HTML, không mảng)",Sản phẩm id=1 tồn tại,GET /api/products/1,X-Student-Id: 23127362,Không,200,"Content-Type chứa application/json và không chứa text/html; JSON.parse thành công; typeof body==='object' và Array.isArray===false. Nếu trả mảng ⇒ va chạm định tuyến với GET /api/products, vi phạm hợp đồng nghiêm trọng",Strict 6 trường (Q6),Cao
TC-API1-060,TC-API1-SCH-006,FR-06,Schema — response lỗi,Schema,Response 404 khớp schema lỗi và không rò rỉ dữ liệu bản ghi,UNUSED_ID chắc chắn không tồn tại,GET /api/products/{UNUSED_ID},X-Student-Id: 23127362,Không,404,"ajv.validate(SCHEMA_ERR)===true; có error hoặc message kiểu string, minLength≥1; không phải mảng; Content-Type json. Kiểm âm tính: name/price/stack/sql đều undefined. Thân rỗng ⇒ vi phạm chốt Q2",Schema lỗi 6.2,Cao
TC-API1-061,TC-API1-SCH-007,FR-06,Schema — nhất quán cấu trúc lỗi,Schema,"Cấu trúc lỗi 400 và 404 phải NHẤT QUÁN (cùng tập khóa, cùng kiểu, cùng tên trường)",UNUSED_ID không tồn tại,GET /api/products/{UNUSED_ID} rồi GET /api/products/abc,X-Student-Id: 23127362,Không,404 rồi 400,"Cả hai khớp SCHEMA_ERR; Object.keys sắp xếp giống hệt nhau; cùng dùng error HOẶC cùng dùng message (không lẫn lộn); nội dung thông điệp phải khác nhau về ngữ nghĩa, nếu giống hệt ⇒ ghi nhận lỗi khả dụng",Schema lỗi 6.2,Cao
TC-API1-062,TC-API1-SCH-008,FR-06,Schema — nhất quán kiểu liên bản ghi,Schema,"Gọi 5 id khác nhau, kiểu của mọi trường (đặc biệt price) phải GIỐNG NHAU",ID_LIST = 5 id có thật (1..5),GET /api/products/{id} x5,X-Student-Id: 23127362,Không,200 (cả 5),"Mỗi response khớp SCHEMA_200; Set(typeof price qua 5 bản ghi).size===1 và giá trị đó==='number'; tương tự cho 5 trường còn lại; mọi bản ghi cùng tập 6 khóa. Nếu size>1 ⇒ lệch kiểu cục bộ (test 1 bản ghi sẽ xanh giả), mở rộng quét toàn bộ danh sách",EP-PRICE-B4; Strict 6 trường,Cao
TC-API1-063,TC-API1-SCH-009,FR-06,Schema — miền giá trị price (quét toàn tập),Schema,"Khảo sát price trên toàn bộ bản ghi: 0, âm, thập phân, độ chính xác float, số rất lớn",Có danh sách đầy đủ từ GET /api/products,GET /api/products/{id} cho mọi id,X-Student-Id: 23127362,Không,200,"PASS/FAIL duy nhất: typeof price==='number' và Number.isFinite. GHI NHẬN (không fail): price=0 (cảnh báo nghiệp vụ); price<0 (cảnh báo nghiêm trọng, có thể lạm dụng ở POST /api/cart); price thập phân (kiểm không làm tròn); |price|>MAX_SAFE_INTEGER (mất chính xác IEEE-754)",EP-PRICE-V1; EP-PRICE-B1; EP-PRICE-B2; EP-PRICE-B3; EP-PRICE-B5,Trung bình
TC-API1-064,TC-API1-SCH-010,FR-06,Schema — ranh giới hợp đồng Q4,Schema,"Response CHỈ có category_id, KHÔNG tự phân giải tên danh mục",Đã lấy danh mục qua GET /api/categories,GET /api/products/1,X-Student-Id: 23127362,Không,200,"typeof category_id==='number'; category_name/category/categoryName đều undefined; đúng 6 khóa; category_id phải tồn tại trong tập id của GET /api/categories (toàn vẹn tham chiếu), nếu không ⇒ dữ liệu mồ côi (lỗi dữ liệu, không phải lỗi hợp đồng)","Strict 6 trường (Q4, Q6)",Trung bình
